ID,Name,StreetAddr,City,State,ZIP,N_Units,LI_UNITS,
GAA20090118,TUSCANY VILLAGE,600 NORTHERN AVE,CLARKSTON,GA,30021-1909,144,0,
GAA20090125,VILLAS ON FORSYTH,101 VIRGINIA AVE,BARNESVILLE,GA,30204-1478,42,33,
GAA20090130,WASHINGTON ESTATES I,101 WASHINGTON DR,TENNILLE,GA,31089,54,48,
GAA20090135,"WELCOME HOUSE, SRO",234 MEMORIAL DR SW,ATLANTA,GA,30303-3725,209,210,
GAA20090140,WHITEHALL COMMONS APARTMENTS,29 WHITEHALL COMMONS LN 29 WHITEHALL COMMONS LANE,CLEVELAND,GA,30528-1669,64,43,
GAA20090145,WHITEHALL MANOR APARTMENTS,298 BRYANT ST,CLEVELAND,GA,30528-1524,48,33,
GAA20090150,WILLOW APARTMENTS I,1202 BLACKSHEAR RD,CORDELE,GA,31015,31,31,
GAA20090868,COURTES DE EMERALD II,1530 S WASHINGTON ST,BAINBRIDGE,GA,39819-5904,32,22,
GAA20098002,ASHFORD LANDING SENIOR RESIDENCES,3511 DONALDSON DR NE,ATLANTA,GA,30319-2261,117,0,
GAA20098021,SPRING CREEK,2010 S COURT ST,QUITMAN,GA,31643-3357,24,0,
GAA20098024,SPRING CREEK B,2010 S COURT ST,QUITMAN,GA,31643-3357,42,0,
GAA20098031,WASHINGTON ESTATES,101 WASHINGTON DR,TENNILLE,GA,31089-4159,54,0,
GAA20098036,WILLOW APTS,1202 BLACKSHEAR RD,CORDELE,GA,31015-9247,31,0,
GAA20099002,CLOVERSET PLACE,74 WILSON ST,HAZLEHURST,GA,31539-6569,40,0,
GAA20100025,MACON MANOR,106 FORCE DR,ALBANY,GA,31705-2531,0,0,
GAA20100030,PRAIRIE SUMMIT APARTMENTS,153 WESTBROOK RD,GORDON,GA,31031-4137,72,0,
GAA20100035,OCONEE PARK,200 RIVERVIEW DR,DUBLIN,GA,31021,117,,
GAA20100045,TIFTON ESTATES,1510 COLEY AVE,TIFTON,GA,31794-5312,34,0,
GAA20100050,WATERFORD ESTATES (FKA SHANNON ESTATES),100 WATERFORD TRL,DUBLIN,GA,31021-5860,50,0,
GAA20100060,"ANTIGUA PLACE, PHASE II",2310 5TH AVE SE,MOULTRIE,GA,31788-5100,40,16,
GAA20100070,CAMELLIA LANE,141 CAMELLIA LN,SANDERSVILLE,GA,31082-2867,48,0,
GAA20100075,DOGWOOD VIEW APARTMENTS,302 MANGHAM DR,BREMEN,GA,30110-2290,40,16,
GAA20100080,"FRIENDSHIP CROSSINGS APARTMENTS/PHASE, I",1405 S FRIENDSHIP AVE,DONALSONVILLE,GA,39845-4800,40,34,
GAA20100085,GREYSTONE APARTMENTS OF MCDONOUGH,100 GREYSTONE DR,MCDONOUGH,GA,30252-8615,56,56,
GAA20100090,HOOKS PLANTATION APARTMENTS,213 BRIGHT ST,CUTHBERT,GA,39840-1905,32,0,
GAA20100100,MALLARD LAKE APARTMENTS,120 OLD AIRPORT RD,LAGRANGE,GA,30240-4066,72,17,
GAA20100105,OCEAN BREEZE PARK,2000 OCEAN BREEZE CIR,WAYCROSS,GA,31503-8890,49,0,
GAA20100115,PRESTON PLACE APARTMENTS,100 PHILLIPS DR,QUITMAN,GA,31643-2558,40,0,
GAA20100120,SKYLINE TRACE,600 RIDGE RD,MONROE,GA,30655-1988,64,0,
GAA20100153,AMAL HEIGHTS FKA VILLAS AT LAKEWOOD,1700 GIBEN RD SW,ATLANTA,GA,30315-4814,192,0,
GAA20107005,BAKER VILLAGE APARTMENTS II,1401 CUPOLA PL,COLUMBUS,GA,31903-2202,148,148,
GAA20110010,ALLEN WILSON TERRACE PHASE I,1480 COMMERCE DR,DECATUR,GA,30030-3202,40,80,
GAA20110020,ASHLEY COLLEGETOWN II,387 JOSEPH E LOWERY BLVD SW,ATLANTA,GA,30310-1439,177,0,
GAA20110030,BROOKHAVEN PHASE II,4741 ROLLING PINE DR,LAKE PARK,GA,31636-5148,48,0,
GAA20110045,THE CREST AT EDINBURGH,3227 MILLEDGEVILLE RD,AUGUSTA,GA,30909-4460,40,0,
GAA20110055,GALLERIA MANOR OF SMYRNA,2731 WOODLAND TER SE,SMYRNA,GA,30080-2607,88,0,
GAA20110060,HARRISTOWN PARK,2135 REYNOLDS ST SW,COVINGTON,GA,30014-6632,60,0,
GAA20110065,HERITAGE AT MCDONOUGH,180 BRIDGES RD,MCDONOUGH,GA,30253-3708,105,0,
GAA20110070,HUMMINGBIRD POINTE,63 CHEROKEE RD,CEDARTOWN,GA,30125-4382,64,64,
GAA20110075,LEGACY AT WALTON VILLAGE PHASE II,1400 ROBERTA DR SW,MARIETTA,GA,30008,78,,
GAA20110080,MECHANICSVILLE PHASE VI,565 MCDANIEL ST SW,ATLANTA,GA,30312-2409,156,0,
GAA20110095,POTEMKIN SENIOR VILLAGE OF WARNER ROBINS,710 ELBERTA RD,WARNER ROBINS,GA,31093,68,,
GAA20110100,POWELL PLACE,200 WARD DRIVE,BARNESVILLE,GA,30204,9,9,
GAA20110105,RIDGEFIELD PLACE,100 PARKVIEW DRIVE,BAINBRIDGE,GA,39819,43,0,
GAA20110110,RUTHIE MANOR,101 RUTHIE MANOR DR,THOMASTON,GA,30286-3990,15,10,
GAA20110115,SAVANNAH GARDENS I,515 PENNSYLVANIA AVE,SAVANNAH,GA,31404,115,114,
GAA20110120,SHANGRI-LA PARK,69 GILREATH RD NW,CARTERSVILLE,GA,30121-5016,72,72,
GAA20110125,SHOAL CREEK APARTMENTS/PACES NEW CONSTR,500 DEWY ROSE LANE,LOCUST GROVE,GA,30248,29,17,
GAA20110130,SUSTAINABLE FELLWOOD PHASE II,1325 EXLEY ST,SAVANNAH,GA,31215,110,0,
GAA20110135,SUSTAINABLE FELLWOOD PHASE III,40 EAGLE ST,SAVANNAH,GA,31415,100,70,
GAA20110140,TERRACE AT EDINBURGH,2515 KENNEDY DR,AUGUSTA,GA,30909-4499,72,0,
GAA20110155,VERANDA AT AUBURN POINTE III,315 TANNER ST SE,ATLANTA,GA,30312-1719,102,0,
GAA20110165,WAYNESBORO SENIOR HOMES,201 WARD ST,WAYNESBORO,GA,30830-1246,39,0,
GAA20110175,WOODBRIDGE AT PARKWAY VILLAGE,5151 THOMPSON RD,FAIRBURN,GA,30213,150,,
GAA20110180,WOODLAWN TERRACE,1211 N FORREST ST,VALDOSTA,GA,31601-3396,60,59,
GAA20110185,"WOODVALE APARTMENTS, III",1309 E EIGHTH AVE,CORDELE,GA,31015,46,46,1
GAA20110800,COVE AT SOUTHLAKE,509 HICKORY LANE,ALBANY,GA,31701,38,0,
GAA20116006,"BROOKHAVEN TC LAKE PARK, LP",4741 ROLLING PINE DR,LAKE PARK,GA,31636-5148,48,0,
GAA20116015,LEGACY AT WALTON VILLAGE PHASE 2,1570 ROBERTA DR SW,MARIETTA,GA,30008-3804,78,0,
GAA20116021,POTEMKIN SENIOR VILLAGE,710 ELBERTA RD,WARNER ROBINS,GA,31093-4300,68,0,
GAA20116024,SAVANNAH GARDENS,515 PENNSYLVANIA AVE,SAVANNAH,GA,31404-1844,115,115,
GAA20116037,WOODBRIDGE AT PARKWAY VILLAGE AKA/ASHTON SR.,5151 THOMPSON RD,FAIRBURN,GA,30213-8600,150,0,
GAA20116040,WARE HOTEL,604 ELIZABETH ST,WAYCROSS,GA,31501-3700,35,0,
GAA20116041,WOODVALE II,1309 E 8TH AVE,CORDELE,GA,31015-3400,46,0,
GAA20120025,CONNERS SENIOR VILLAGE PHASE II,9501 CONNERS RD,VILLA RICA,GA,30180-3251,60,0,
GAA20120040,ELLIJAY EAST APARTMENTS,188 ERIC SIMPSON DR,EAST ELLIJAY,GA,30540-8190,45,45,
GAA20120045,ETOWAH TERRACE SENIOR RESIDENCES,1 ETOWAH TER SW,ROME,GA,30161,77,77,
GAA20120050,FAITH CROSSING,123 AGAN DRIVE,VIDALIA,GA,30474-8694,64,0,
GAA20120055,FARMINGTON HILLS PHASE I,1506 FARMINGTON WAY,WINDER,GA,30680,72,72,
GAA20120070,GRACE CROSSING,183 GESMOND NEVILLE LANE,STATESBORO,GA,30458,64,0,
GAA20120075,GREEN MOUNTAIN VILLAGE,1237 OLD ATHENS HWY,CORNELIA,GA,30531-5313,64,0,
GAA20120115,LEGACY AT WALTON TERRACE,4598 CARRUTH ST,ACWORTH,GA,30101-5105,108,0,
GAA20120120,MAGNOLIA TRACE,520 PACIFICA DRIVE,MARTINEZ,GA,30907,50,0,
GAA20120130,MAPLE SQUARE APARTMENTS,50 NELSON DRIVE,JEFFERSON,GA,30549,55,0,
GAA20120145,TANGLEWOOD APARTMENTS,468 E LIBERTY ST # 49,BLAKELY,GA,39823-9616,51,0,
GAA20120150,TUCKER COTTAGES FKA AZALEA MILL COTTAGES,301 JORDANS WAY,LAGRANGE,GA,30240,50,0,
GAA20120155,THE VILLAGE AT WALKERS BEND,5978 EVERTT STREET SW,COVINGTON,GA,30014,32,0,
GAA20120165,WALTON OAKS,602 FAIRHOPE ST,AUGUSTA,GA,30901-1916,75,0,
GAA20120170,WINDSOR APARTMENTS,198 ELDRIDGE ST,METTER,GA,30439-3325,53,52,
GAA20120801,HIGHLAND MANOR APARTMENTS,198 N CORNERS PKWY,CUMMING,GA,30040-2079,96,0,
GAA20120987,TOCCOA FERN POINT,280 FERN POINT DRIVE,TOCCOA,GA,30577,48,0,
GAA20125006,CONNERS SENIOR VILLAGE,9501 CONNERS RD,VILLA RICA,GA,30180-3251,60,0,
GAA20125008,EFFINGHAM GOSHEN CROSSING,121 GOSHEN COMMERCIAL PARK DRI,RINCON,GA,31326-5577,60,0,
GAA20125012,FARMINGTON HILLS,1505 FARMINGTON WAY,WINDER,GA,30680,72,0,
GAA20125016,GATEWAY PINES APARTMENTS,770 UNION ROAD,HAHIRA,GA,31632-4204,52,0,
GAA20130009,ENDEAVOR POINTE,102 ENDEAVOR POINTE WAY,ROCKSPRINGS,GA,30739,64,64,
GAA20130011,FOREST AT YORK,301 CALUMET PARKWAY,NEWNAN,GA,30263,72,72,
GAA20130012,GATEWAY PINES II,1022 W STANFILL ST,HAHIRA,GA,31632-1934,56,56,
GAA20130013,HEARTHSIDE AT PEACHTREE CITY,1000 NEWGATE ROAD,PEACHTREE CITY,GA,32069,84,82,
GAA20130014,LONE MOUNTAIN VILLAGE PHASE II,85 DARLENE LANE,RINGGOLD,GA,30736,64,0,
GAA20130015,LOOKOUT POINTE,11316 S MAIN ST,TRENTON,GA,30752-2832,55,55,
GAA20130988,HERITAGE VISTA,3029 HERITAGE PL NE,MILLEDGEVILLE,GA,31061-9075,64,63,
GAA20130993,PLANTATION APARTMENTS IV,201 CASEY DR,RICHMOND HILL,GA,31324-3522,48,48,
GAA20130995,SILVERWOOD PLACE,141 SILVERWOOD CT,RINCON,GA,31326-5131,48,0,
GAA20134003,ARBOR POINTE III AKA BAKER VILLAGE PHASE III,1454 CUPOLA PL,COLUMBUS,GA,31903-2202,120,0,
GAA20134005,BRENTWOOD PLACE,32 BRENTWOOD PL,FORSYTH,GA,31029-1704,80,79,
GAA20134018,IMPERIAL HOTEL 2012,355 PEACHTREE ST NE,ATLANTA,GA,30308-3256,90,45,
GAA20140035,STONY RIDGE,108 LINCOLN ST,HOGANSVILLE,GA,30230-1336,55,0,
GAA20140036,TALLOKAS POINTE APARTMENTS,2001 TALLOKAS POINTE ROAD,MOULTRIE,GA,31768,48,0,
GAA20140985,ABBINGTON WOODS,3000 ABBINGTON WOODS DRIVE,BRUNSWICK,GA,31523,56,0,
GAA20140987,BRASELTON COURT,1911 HIGHWAY 211 NW,HOSCHTON,GA,30548-3525,80,0,
GAA20140996,PINEWOOD VILLAGE,755 S ROGERS ST,POOLER,GA,31322-3119,64,0,
GAA20140997,RAMSEY RUN,100 RAMSEY LANE,ROCKMART,GA,30153,60,0,
GAA20140998,SAVANNAH GARDENS PHASE IV,514 PENNSYLVANIA AVE # 2000,SAVANNAH,GA,31404-1865,114,90,
GAA20140999,SAVANNAH GARDENS PHASE III,500 PENNSYLVANIA AVE,SAVANNAH,GA,31404-1845,94,89,
GAA20143006,COLUMBIA SENIOR RESIDENCES AT BROOKSIDE,300 HAWTHORNE AVENUE,ATHENS,GA,30606-2162,100,0,
GAA20143016,PEACH PLACE AKA FREEDOM POINTE APTS,201 ALLRED RD,BYRON,GA,31008-6226,60,0,
GAA20150001,HEARTHSIDE SUGARLOAF,5600 SUGARLOAF PARKWAY,LAWRENCEVILLE,GA,30043-5603,110,76,
GAA20152001,AUTRY PINES SR VILLAGE,155 AUTRY RD,AUBURN,GA,30011-3282,64,0,
GAA20152003,BTW-CHAPMAN I,3275 CHAPMAN WAY,COLUMBUS,GA,31903-2835,100,0,
GAA20152004,COLUMBIA BROOKSIDE II,570 PAULDOE ST,ATHENS,GA,30606-7511,111,0,
GAA20152006,FARMINGTON CREEK,35 HARVEST CIRCLE,DAWSONVILLE,GA,30534,56,0,
GAA20152014,MANOR AT BROAD STREET,155 W. BROAD STREET,FAIRBURN,GA,30123,88,0,
GAA20152015,MERIWETHER REDEVELOPMENT PHASE I,420 PARK ROAD,GRIFFIN,GA,30224-6831,84,0,
GAA20152020,POINT NORTH VILLAGE,2703 POINTE NORTH BLVD,ALBANY,GA,31721-1586,,0,
GAA20152021,RENAISSANCE PARK,205 MEMORIAL DRIVE,HINESVILLE,GA,31313,42,0,
GAA20152025,THE VIEW AKA MOUNTAINVIEW SENIOR,901 4TH ST,STONE MOUNTAIN,GA,30083-3001,80,0,
GAA20153002,BROADVIEW COVE,93 BROADVIEW LANE,BLUE RIDGE,GA,30513,60,60,
GAA20153003,EUREKA HEIGHTS,1060 W WASHINGTON AVE,ASHBURN,GA,31714-5602,56,0,
GAA20153004,FOREST MILL,1406 FOREST MILL LANE,WEST POINT,GA,31833,80,71,
GAA20153005,HEATHER HIGHLANDS,10 ED SMITH WAY,FRANKLIN SPRINGS,GA,30639,40,39,
GAA20153006,HORIZON SR VILLAGE,5335 WRIGHTSBORO RD,GROVETOWN,GA,30813-2800,68,0,
GAA20153007,LEGACY AT WALTON OAKS 2,602 FAIRHOPE ST,AUGUSTA,GA,30901-1916,62,62,
GAA20153008,OASIS AT SCHOLAR'S LANDING,134 JOHN HOPE DR SW,ATLANTA,GA,30314-4227,60,60,
GAA20153009,SAVANNAH GARDENS V,202 CRESCENT DRIVE,SAVANNAH,GA,31404,76,59,
GAA20153010,THE GARDENS,150 CHARLIE CORN DRIVE,YOUNG HARRIS,GA,30582,51,50,
GAA20153011,THE RESERVE AT HAMPTON,3460 HWY 341,FORT VALLEY,GA,31010,60,60,
GAA20160101,A.L. MILLER,2241 MONTPELIER AVE,MACON,GA,31204-4008,71,0,
GAA20160102,ABBINGTON TRAIL,3500 TRILLIUM DIRVE,POWDER SPRINGS,GA,30127,60,0,
GAA20160106,HEARTHSIDE TUCKER,4358 LYNBURN DR,TUCKER,GA,30084-4440,112,0,
GAA20160107,HIGHLAND ESTATES,161 WOODROW WILSON WAY NW,ROME,GA,30165,84,0,
GAA20160109,LEGACY AT WALTON PARK FKA SCHOOL STRT DEV,MIRANDA SANDERS 4862 SCHOOL ST,ACWORTH,GA,30101-4964,100,0,
GAA20160111,MASON MANOR,300 MASON MANOR PLACE,COMMERCE,GA,30530,48,0,
GAA20160112,MCRAE-HELENA ESTATES,7 INDUSTRIAL BLVD,MC RAE,GA,31055-3828,48,0,
GAA20160113,MILLS CREEK CROSSING,3175 MILLS CREEK CIRCLE,SCOTTDALE,GA,30079,200,0,
GAA20160114,NEWPORT TRACE APARTMENTS,101 LESTER RD,STATESBORO,GA,30458-4799,42,0,
GAA20160115,OLIVER PLACE,530 GRAY RD,PERRY,GA,31069-2810,100,0,
GAA20160116,PARK SENIOR VILLAGE,211 PARK STREET,LEESBURG,GA,31763,50,0,
GAA20160117,PROVIDENCE AT PARKWAY VILLAGE,5095 SOUTHWOOD RD,FAIRBURN,GA,30213-2037,150,0,
GAA20160118,REYNOLDSTOWN SENIOR RESIDENCES,695 FIELD STREET SE,ATLANTA,GA,30316-1290,69,0,
GAA20160119,ROYAL OAKS FKA/ LIBERTY PLACE,939 PINELAND AVE,HINESVILLE,GA,31313-5193,72,0,
GAA20160120,SILVER LAKES,555 FIFTH ST,MADISON,GA,30650-1047,44,0,
GAA20160122,SOUTWESTERN ESTATES,900 SOUTHWESTERN CIRCLE,AMERICUS,GA,31709,64,0,
GAA20160124,SUMMER BREEZE PARK,14 SUMMER BREEZE LANE,RINGGOLD,GA,30736,72,0,
GAA20160125,GROVES PLACE,2840 RAINWATER RD,TIFTON,GA,31793-5701,56,0,
GAA20160126,TRINITY WALK,421 W TRINITY PL,DECATUR,GA,30030-3022,69,0,
GAA20160127,TOBIE GRANT SENIOR,560 PARKDALE DR,SCOTTDALE,GA,30079-1410,100,0,
GAA20160128,WATER TOWER PARK SR VILLAGE,140 SENIOR CENTER WAY,GRAY,GA,31032,72,0,
GAA20161004,CAMPBELL PLACE,320 CAMPBELL DR,CAMILLA,GA,31730-6309,52,0,
GAA20161005,CITY LIGHTS SENIORS,420 BOULEVARD NE,ATLANTA,GA,30308-2633,80,0,
GAA20161015,MECHANICSVILLE SCATTERED SITES,1718 PEACHTREE ST NW STE 684,ATLANTA,GA,30309-2496,74,0,
GAA20170001,ABBIE LANE PARK,1060 LEONARD BRIDGE RD,CHATSWORTH,GA,30705-5802,64,0,
GAA20170002,ASHLEIGH PLACE SENIOR APTS,11 PLANTATION WAY,RICHMOND HILL,GA,31324,80,0,
GAA20170003,BEAR CREEK VILLAGE,413 JAMES ST,ADEL,GA,31620-1533,56,0,
GAA20170006,BTW - CHAPMAN PHASE II,500 5TH AVENUE,COLUMBUS,GA,31901-3231,106,0,
GAA20170008,COLUMBIA BROOKSIDE III (PAULDOE REDEV III),1000 SUMMERBROOK CIRCLE,ATHENS,GA,30606,138,0,
GAA20170011,GRINER GARDENS,808 EDGEWOOD ST,NASHVILLE,GA,31639-1146,48,0,
